Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1867,,,AnonyLegion1112,0,1,1,0,2,2,0,0,1,1,1,0
1868,,,waseemezzie1234,0,1,1,0,1,1,0,0,1,1,1,0
1869,,,TTrapczynski,0,1,1,0,2,2,0,0,1,1,1,0
1870,,,Sustain_Urban,0,1,1,0,1,1,0,0,1,1,1,0
1871,,,buuchin1,0,2,2,0,2,2,0,0,3,0.513514,0.54386,0
1872,,,WoneTone,0,1,1,0,1,1,0,0,1,1,1,0
1873,,,fuckthepopo4eva,0,1,1,0,1,1,0,0,1,1,1,0
1874,,,Lawyer_A_Ho,0,1,1,0,1,1,0,0,1,1,1,0
1875,,,xzxzanalazy,0,2,2,0,2,2,0,0,1,1,1,0
1876,,,bess_leung,0,1,1,0,1,1,0,0,1,1,1,0
1877,,,lstvincentj,0,1,1,0,1,1,0,0,1,1,1,0
1878,,,bnb952,0,4,4,0,4,4,0,0,3,0.5,0.534188,0
1879,,,cheongsandaegu,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
1880,,,RuyiRuyiHu,0,2,2,0,2,2,0,0,1,1,1,0
1881,,,kiki06579912,0,3,3,0,5,5,0,0,1,1,1,0
1882,,,momcaIIedmefat,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
1883,,,POETJINGWA,0,2,2,0,2,2,0,0,1,1,1,0
1884,,,KeviCassii21,0,1,1,0,1,1,0,0,1,1,1,0
1885,,,kimtogata,0,1,1,0,1,1,0,0,1,1,1,0
1886,,,HinesWealthMgmt,1,1,2,1,1,2,0,0.006687,0,0,0,0
1887,,,advportfolios,7,1,8,9,1,10,0.142857,0.04681,0,0,0,0
1888,,,Blade49340067,0,2,2,0,2,2,0,0,1,1,1,0
1889,,,giang_dasher,0,1,1,0,1,1,0,0,1,1,1,0
1890,,,sscheuch_bine,0,1,1,0,1,1,0,0,1,1,1,0
1891,,,yymods,0,1,1,0,1,1,0,0,1,1,1,0
1892,,,heizeming668,0,1,1,0,1,1,0,0,1,1,1,0
1893,,,Ymer31214745,0,4,4,0,4,4,0.083333,0,1,1,1,0
1894,,,emmanuellelewin,1,1,2,1,1,2,0,0.006687,0,0,0,0
1895,,,RGroupFinancial,6,1,7,6,1,7,0.2,0.071929,0,0,0,0
1896,,,XiaoqiLi12,0,1,1,0,1,1,0,0,1,1,1,0
1897,,,xKrisLynn,0,1,1,0,1,1,0,0,1,1,1,0
1898,,,Zzorelia,11,1,12,11,1,12,0.007576,0.050548,1,1,1,12
1899,,,callumclemson,0,2,2,0,2,2,0,0,1,1,1,0
1900,,,hehemantgang,0,1,1,0,1,1,0,0,1,1,1,0
1901,,,PuppyGyuLovebot,0,1,1,0,1,1,0,0,1,1,1,0
1902,,,SamHuangFan,0,1,1,0,1,1,0,0,1,1,1,0
1903,,,mochii_sungie,0,2,2,0,2,2,0,0,1,1,1,0
1904,,,CarolSchmidlin,6,1,7,6,1,7,0.166667,0.040123,0,0,0,0
1905,,,kylelee168168,0,1,1,0,1,1,0,0,1,1,1,0
1906,,,stevedire,0,1,1,0,1,1,0,0,1,1,1,0
1907,,,sammyard078,0,1,1,0,1,1,0,0,1,1,1,0
