Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,,,tsukianul,0,10,10,0,11,11,0,0,1,1,1,0
2,,,natecurlsquad,4,9,13,6,11,17,0.083333,0.026749,1,1,1,24
3,,,frenchpressplz,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
4,,,Glossmeraldo,0,1,1,0,1,1,0,0,1,1,1,0
5,,,Eyesonnathan,0,11,11,0,11,11,0,0,2,0.923077,0.958333,0
6,,,judejinjin,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
7,,,terpointoh,4,1,5,4,1,5,0.25,0.124587,0,0,0,0
8,,,sofigurein,16,30,46,18,32,50,0.022727,0.106994,2,0.891892,0.939394,494
9,,,tailandtadashi,2,27,29,2,30,32,0.035714,0.013374,5,0.49359,0.615152,77
10,,,OlympicChenpion,10,23,33,11,24,35,0.032258,0.066871,3,0.733333,0.828283,297
11,,,Honeywater1214,0,23,23,0,23,23,0,0,3,0.84375,0.919753,0
12,,,strawberryhoes,42,2,44,48,5,53,0.024363,0.475446,1,1,1,92
13,,,JohnGot76853756,1,1,2,1,1,2,0,0.006687,0,0,0,0
14,,,chicken20549036,0,21,21,0,24,24,0,0,2,0.956522,0.977273,0
15,,,Valerie07390730,0,7,7,0,7,7,0,0,1,1,1,0
16,,,icy_blue0505,2,19,21,2,19,21,0.05,0.013374,2,0.640625,0.719512,41
17,,,NGU_MnN,0,14,14,0,15,15,0,0,2,0.9375,0.966667,0
18,,,Dennis64403986,0,1,1,0,2,2,0,0,1,1,1,0
19,,,yuzutoaki,0,1,1,0,1,1,0,0,1,1,1,0
20,,,lilacwinoz,1,1,2,1,1,2,0,0.006687,0,0,0,0
21,,,AlumniHopkins,1,1,2,1,1,2,0,0.006687,0,0,0,0
22,,,briarhoes,1,1,2,1,1,2,0,0.006687,0,0,0,0
23,,,Kat_Roaster,1,1,2,1,1,2,0,0.006687,0,0,0,0
24,,,InnovatorBiz,8,1,9,8,1,9,0.125,0.053497,0,0,0,0
25,,,aphmoney,0,2,2,0,2,2,0,0,1,1,1,0
26,,,jakefromAR,0,2,2,0,2,2,0,0,1,1,1,0
27,,,stayhealthy505,0,5,5,0,5,5,0,0,1,1,1,0
28,,,GraceYu0329,0,8,8,0,9,9,0,0,3,0.733333,0.848485,0
29,,,captmorgsas,0,1,1,0,1,1,0,0,1,1,1,0
30,,,Liddell_0124,0,11,11,0,12,12,0,0,2,0.923077,0.958333,0
31,,,DBinSydney,0,1,1,0,1,1,0,0,1,1,1,0
32,,,MSN,22,1,23,25,4,29,0.045455,0.161094,0,0,0,0
33,,,fromisbeom,0,1,1,0,1,1,0,0,1,1,1,0
34,,,MaiiSabai,0,9,9,0,9,9,0,0,1,1,1,0
35,,,ChrisCasquejo,0,1,1,0,1,1,0,0,1,1,1,0
36,,,melissa07111,0,2,2,0,2,2,0,0,2,0.6,0.666667,0
37,,,Juncidis,0,2,2,0,2,2,0,0,3,0.484848,0.53125,0
38,,,xtalayuzu,0,4,4,0,4,4,0,0,1,1,1,0
39,,,Josephc34923938,1,1,2,1,1,2,0,0.006687,0,0,0,0
40,,,tackyandwilson,20,5,25,31,14,45,0.04529,0.210616,2,0.75,0.833333,199
41,,,raspmarytea,0,7,7,0,11,11,0,0,3,0.608696,0.72619,0
42,,,lulumediainc,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
43,,,chr1ie,1,1,2,1,1,2,0,0.006687,0,0,0,0
44,,,Chaleck,3,1,4,3,1,4,0.333333,0.048015,0,0,0,0
45,,,EeV5IDoLiCxMPr5,0,3,3,0,3,3,0,0,1,1,1,0
46,,,LiraAlaya,8,2,10,8,2,10,0.111111,0.053497,1,1,1,7
47,,,BrianncaTV,74,1,75,120,45,165,0.013514,0.519308,0,0,0,0
48,,,NancyLFulmer1,3,1,4,6,4,10,0.333333,0.020061,0,0,0,0
49,,,vivicardashian,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
50,,,kirakumamaFS,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
51,,,AlbertCamus82,3,1,4,3,1,4,0.333333,0.034038,0,0,0,0
52,,,PYGOSCELIS_SKT,4,12,16,4,12,16,0.071429,0.026749,3,0.666667,0.787037,53
53,,,SC0369,0,7,7,0,7,7,0,0,2,0.888889,0.9375,0
54,,,shiratori5610,0,2,2,0,2,2,0,0,3,0.5,0.583333,0
55,,,1DougSimpson,0,1,1,0,1,1,0,0,1,1,1,0
56,,,yuko_takechan,2,6,8,2,6,8,0.142857,0.028885,1,1,1,30
57,,,carter_embrey,0,1,1,0,1,1,0,0,1,1,1,0
58,,,DaseinNa_,0,1,1,0,1,1,0,0,1,1,1,0
59,,,highpusheen,0,1,1,0,1,1,0,0,1,1,1,0
60,,,wlai,0,1,1,0,1,1,0,0,1,1,1,0
61,,,malami881,0,1,1,0,1,1,0,0,1,1,1,0
62,,,purple_jiujiu,0,1,1,0,1,1,0,0,1,1,1,0
63,,,ShizueNhi,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
64,,,Rilabu2,0,2,2,0,2,2,0,0,3,0.5,0.583333,0
65,,,42kaiko,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
66,,,yukikonatsuharu,0,32,32,0,37,37,0,0,3,0.653061,0.744792,0
67,,,kaibernierchen,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
68,,,poppo_skate,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
69,,,shoshpd,1,11,12,1,11,12,0.090909,0.006687,2,0.916667,0.954545,0
70,,,callofthewind,1,6,7,1,6,7,0.166667,0.006687,2,0.857143,0.916667,0
71,,,NativeFlowers,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
72,,,SpillbergS,2,1,3,4,3,7,0.5,0.027351,0,0,0,0
73,,,pearlspins,4,5,9,4,5,9,0.125,0.026749,1,1,1,12
74,,,beva5678,14,1,15,16,3,19,0.071429,0.100608,0,0,0,0
75,,,goggiebooty,0,1,1,0,1,1,0,0,1,1,1,0
76,,,justine_wu,0,2,2,0,2,2,0,0,1,1,1,0
77,,,rondokitty,3,5,8,3,6,9,0.190476,0.020061,1,1,1,6
78,,,vanillasallt,0,1,1,0,1,1,0,0,1,1,1,0
79,,,Jude20410224,1,5,6,1,5,6,0,0.00396,1,1,1,5
80,,,alvaro058,0,1,1,0,1,1,0,0,1,1,1,0
81,,,Pingpu_per,14,2,16,21,8,29,0.066667,0.135551,1,1,1,24
82,,,SkatingSabrina,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
83,,,jlfleite,0,4,4,0,4,4,0,0,4,0.449438,0.497917,0
84,,,hanyusukiii,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
85,,,R_Perokun,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
86,,,LizSzabo,0,1,1,0,2,2,0,0,2,0.666667,0.75,0
87,,,moagether,0,3,3,0,3,3,0,0,2,0.8,0.875,0
88,,,krnl_lf,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
89,,,Courtneywendel,0,1,1,0,1,1,0,0,1,1,1,0
90,,,Wordsnflowers1,0,1,1,0,1,1,0,0,1,1,1,0
91,,,ifsmagazine,6,1,7,7,2,9,0.166667,0.075065,0,0,0,0
92,,,ThompsonK104,1,1,2,1,1,2,0,0.006687,0,0,0,0
93,,,SeelyeTracy,6,1,7,6,1,7,0.166667,0.040123,0,0,0,0
94,,,yokolog,0,3,3,0,3,3,0,0,2,0.714286,0.8,0
95,,,morinori223,0,31,31,0,33,33,0,0,2,0.860465,0.918919,0
96,,,ranpokey,0,2,2,0,2,2,0,0,1,1,1,0
97,,,Panoramiia,0,3,3,0,3,3,0,0,1,1,1,0
98,,,joloroman,0,3,3,0,7,7,0,0,1,1,1,0
99,,,AAAJ_LA,6,1,7,6,1,7,0.166667,0.06223,0,0,0,0
100,,,s_jimmy_m,0,1,1,0,1,1,0,0,1,1,1,0
101,,,FairuzGhefira,0,1,1,0,1,1,0,0,1,1,1,0
102,,,neirgudetama,4,6,10,5,7,12,0.111111,0.058197,1,1,1,55
103,,,Pandaherbs1,0,1,1,0,1,1,0,0,1,1,1,0
104,,,Bangtan_Army730,0,1,1,0,1,1,0,0,1,1,1,0
105,,,KonnyakuSenshu,0,5,5,0,5,5,0,0,1,1,1,0
106,,,Dean42402953,0,1,1,0,1,1,0,0,1,1,1,0
107,,,aquatw1,0,3,3,0,3,3,0,0,1,1,1,0
108,,,nureizzatyyy,4,1,5,4,1,5,0.25,0.032203,0,0,0,0
109,,,CLBTSARMY1,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
110,,,renge1124,2,10,12,2,10,12,0,0.00792,4,0.615385,0.776042,32
111,,,shirazens,0,1,1,0,1,1,0,0,1,1,1,0
112,,,pannchoaNOT,2,1,3,4,3,7,0.5,0.013374,0,0,0,0
113,,,Melissa53008677,2,1,3,3,2,5,0.5,0.013374,0,0,0,0
114,,,NectarineOne,3,1,4,4,1,5,0.333333,0.020061,0,0,0,0
115,,,fuyumikan2112,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
116,,,youmengying2014,0,36,36,0,40,40,0,0,3,0.676768,0.766169,0
117,,,hztwsx,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
118,,,starrysugi,0,1,1,0,1,1,0,0,1,1,1,0
119,,,adrianna_ind,7,1,8,9,3,12,0.142857,0.081752,0,0,0,0
120,,,ZacharyCosta14,0,1,1,0,1,1,0,0,1,1,1,0
121,,,Zumrezumree,0,1,1,0,1,1,0,0,1,1,1,0
122,,,ZbHIfkhzBqyY14f,0,11,11,0,11,11,0,0,2,0.923077,0.958333,0
123,,,TylerWigington,0,1,1,0,1,1,0,0,1,1,1,0
124,,,malsimons,0,1,1,0,1,1,0,0,1,1,1,0
125,,,nighty_wind,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
126,,,Lxylxatnxght,0,1,1,0,1,1,0,0,1,1,1,0
127,,,gamesmio,0,1,1,0,1,1,0,0,1,1,1,0
128,,,Verbatim411,0,1,1,0,1,1,0,0,1,1,1,0
129,,,Natsky1988,14,1,15,15,2,17,0.071429,0.09362,0,0,0,0
130,,,tlwhite26,0,1,1,0,1,1,0,0,1,1,1,0
131,,,metroheterojerk,0,1,1,0,1,1,0,0,1,1,1,0
132,,,joonsgooz,0,1,1,0,1,1,0,0,1,1,1,0
133,,,Josianelokinha,0,1,1,0,1,1,0,0,1,1,1,0
134,,,UnpaintedMelody,0,1,1,0,1,1,0,0,1,1,1,0
135,,,shankeracom,0,1,1,0,1,1,0,0,1,1,1,0
136,,,gztstatistics,0,1,1,0,1,1,0,0,1,1,1,0
137,,,JesseCoffey15,0,2,2,0,2,2,0,0,1,1,1,0
138,,,mQUsarPX7BbaGsw,0,5,5,0,6,6,0,0,2,0.857143,0.916667,0
139,,,PApynys,0,1,1,0,1,1,0,0,1,1,1,0
140,,,bader_diedrich,0,1,1,0,1,1,0,0,1,1,1,0
141,,,Hypnoru,1,3,4,1,3,4,0.333333,0.006687,1,1,1,0
142,,,shayz0rz,5,5,10,7,7,14,0.111111,0.033436,1,1,1,16
143,,,therealpeterm,3,1,4,5,3,8,0.333333,0.020061,0,0,0,0
144,,,RachaelKriger,0,1,1,0,1,1,0,0,1,1,1,0
145,,,ILSportsNetwork,1,1,2,1,1,2,0,0.006687,0,0,0,0
146,,,klamstrakur,0,1,1,0,1,1,0,0,1,1,1,0
147,,,chaein_n,2,1,3,2,1,3,0.5,0.068498,0,0,0,0
148,,,polarYpolaris,15,22,37,19,27,46,0.027778,0.11079,2,0.956522,0.977273,352
149,,,socialaysm,1,1,2,1,1,2,0,0.006687,0,0,0,0
150,,,embot0,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
151,,,Cstu05,0,1,1,0,1,1,0,0,1,1,1,0
152,,,nagitsuna__,0,4,4,0,4,4,0,0,1,1,1,0
153,,,KateMcGranagha1,1,1,2,1,1,2,0,0.006687,0,0,0,0
154,,,Manhattan510,5,1,6,6,2,8,0.2,0.03693,0,0,0,0
155,,,fairydyoung,1,2,3,1,2,3,0.5,0.006687,1,1,1,0
156,,,jlpritchard11,0,1,1,0,1,1,0,0,1,1,1,0
157,,,erikuroo_,0,1,1,0,1,1,0,0,1,1,1,0
158,,,Mont_Jiang,26,1,27,34,6,40,0.038462,0.183581,0,0,0,0
159,,,o_hagim,0,20,20,0,20,20,0.002632,0,2,0.7,0.785714,0
160,,,pedal_by_pedal,4,2,6,6,4,10,0.2,0.026749,1,1,1,3
161,,,balletprof,1,1,2,1,1,2,0,0.006687,0,0,0,0
162,,,astroagency,1,1,2,1,1,2,0,0.006687,0,0,0,0
163,,,wm_yin,4,1,5,5,1,6,0.25,0.037231,0,0,0,0
164,,,yunozel,3,2,5,3,3,6,0.25,0.020061,1,1,1,2
165,,,dorothyk98,0,1,1,0,1,1,0,0,1,1,1,0
166,,,iLUVSUZU,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
167,,,fluffylino,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
168,,,m27c47b5b4mgk,0,10,10,0,10,10,0,0,5,0.5,0.588095,0
169,,,mikako20021,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
170,,,klovex12,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
171,,,thelandofall05,2,28,30,2,30,32,0.034483,0.013374,5,0.552632,0.764286,42
172,,,min_yuzugi,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
173,,,karlrohe,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
174,,,77andreea88,0,2,2,0,2,2,0,0,1,1,1,0
175,,,mikutyler,0,11,11,0,11,11,0,0,2,0.923077,0.958333,0
176,,,billshoemaker21,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
177,,,Sharonb57470441,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
178,,,TaffyTheTrash,0,1,1,0,1,1,0,0,1,1,1,0
179,,,AlexashkaDR,0,1,1,0,1,1,0,0,1,1,1,0
180,,,Miyako_Hirano,3,1,4,3,1,4,0.333333,0.078015,0,0,0,0
181,,,kenwaydeb,0,1,1,0,1,1,0,0,1,1,1,0
182,,,NnImfbyTj3rGR6o,14,7,21,24,16,40,0.05,0.128562,1,1,1,132
183,,,Runonsentenc3,1,1,2,1,1,2,0,0.006687,0,0,0,0
184,,,FourStarWealth,2,1,3,2,1,3,0.5,0.020363,0,0,0,0
185,,,digitalfatemeh,1,1,2,1,1,2,0,0.006687,0,0,0,0
186,,,krs_rmafan,9,1,10,9,1,10,0.111111,0.060184,0,0,0,0
187,,,ang_nb,0,1,1,0,1,1,0,0,1,1,1,0
188,,,vibrantaries,0,2,2,0,2,2,0,0,1,1,1,0
189,,,ShottazMinaj,0,1,1,0,1,1,0,0,1,1,1,0
190,,,blue_tampa,0,1,1,0,1,1,0,0,1,1,1,0
191,,,CCccinnamonroll,0,1,1,0,1,1,0,0,1,1,1,0
192,,,jiminilIegal,0,1,1,0,1,1,0,0,1,1,1,0
193,,,blkhat26,0,1,1,0,1,1,0,0,1,1,1,0
194,,,Fonch2,0,1,1,0,1,1,0,0,1,1,1,0
195,,,brolensky,11,1,12,13,3,16,0.090909,0.084041,0,0,0,0
196,,,propertyofEO,4,1,5,5,2,7,0.25,0.026749,0,0,0,0
197,,,arentuamerican,0,1,1,0,1,1,0,0,1,1,1,0
198,,,BNGTNRKIVEJOON,0,1,1,0,1,1,0,0,1,1,1,0
199,,,pxwhittle,0,1,1,0,1,1,0,0,1,1,1,0
200,,,lakersbunny11,0,4,4,0,4,4,0,0,1,1,1,0
201,,,yuzuzuhuzuzu,0,2,2,0,2,2,0,0,1,1,1,0
202,,,knifeshoeballet,0,2,2,0,2,2,0,0,1,1,1,0
203,,,ginadalfonzo,4,1,5,5,2,7,0.25,0.026749,0,0,0,0
204,,,Vassa97590556,0,2,2,0,2,2,0,0,1,1,1,0
205,,,JuliaKehrli,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
206,,,ayyyyyveslmao,0,1,1,0,1,1,0,0,1,1,1,0
207,,,srworthen,0,2,2,0,2,2,0,0,1,1,1,0
208,,,c3raunophil3,0,1,1,0,1,1,0,0,1,1,1,0
209,,,aprilreads414,0,1,1,0,1,1,0,0,1,1,1,0
210,,,RMinyoonji,6,4,10,9,7,16,0.111111,0.070371,1,1,1,69
211,,,FlambartP,0,3,3,0,4,4,0,0,2,0.8,0.875,0
212,,,heyyoushyjohnny,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
213,,,AmbGemstone,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
214,,,AlatunaSkils,0,1,1,0,1,1,0,0,1,1,1,0
215,,,TinyLe,0,2,2,0,2,2,0,0,1,1,1,0
216,,,cssnei,2,1,3,5,2,7,0.5,0.013374,0,0,0,0
217,,,kiimrodri,1,1,2,1,1,2,0,0.006687,0,0,0,0
218,,,sonevlvt,3,1,4,4,2,6,0.333333,0.020061,0,0,0,0
219,,,ilovemilfymoms,0,1,1,0,1,1,0,0,1,1,1,0
220,,,134340x1230,0,2,2,0,2,2,0,0,1,1,1,0
221,,,kbbang_y,0,28,28,0,33,33,0,0,3,0.813953,0.895238,0
222,,,ashleyehret7,16,1,17,17,2,19,0.0625,0.106994,0,0,0,0
223,,,RPappas333,0,1,1,0,1,1,0,0,1,1,1,0
224,,,princessa_jota,0,1,1,0,1,1,0,0,1,1,1,0
225,,,bridgetany,0,1,1,0,1,1,0,0,1,1,1,0
226,,,patriciacfiske,0,3,3,0,3,3,0,0,2,0.714286,0.8,0
227,,,BriandJustice,0,1,1,0,1,1,0,0,1,1,1,0
228,,,xindoleyokzany,0,5,5,0,5,5,0,0,3,0.7,0.833333,0
229,,,IHZ3jWyGUmlUmeT,0,18,18,0,19,19,0,0,3,0.785714,0.893939,0
230,,,hanyupals,0,3,3,0,3,3,0,0,1,1,1,0
231,,,masqueroarade,0,2,2,0,2,2,0,0,1,1,1,0
232,,,ryotacchii,0,2,2,0,2,2,0,0,1,1,1,0
233,,,LanceV72,0,1,1,0,1,1,0,0,1,1,1,0
234,,,honestlydiamond,3,1,4,4,2,6,0.333333,0.020061,0,0,0,0
235,,,suikafs,0,2,2,0,2,2,0,0,1,1,1,0
236,,,merydncl,11,1,12,12,1,13,0.090909,0.131512,0,0,0,0
237,,,huaIianisms,0,3,3,0,4,4,0,0,3,0.52381,0.606061,0
238,,,dsntedge,3,13,16,4,14,18,0.071429,0.020061,3,0.708333,0.833333,34
239,,,ForeverFanyu,5,4,9,5,4,9,0.125,0.033436,3,0.529412,0.62963,36
240,,,Ru_Kyum,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
241,,,BringinJackyBak,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
242,,,daylip6,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
243,,,satsuki_n_55,0,6,6,0,6,6,0,0,3,0.6,0.722222,0
244,,,pamgriffa,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
245,,,NithilaMPPeter,1,1,2,1,1,2,0,0.006687,0,0,0,0
246,,,kellyparkwaype,1,1,2,1,1,2,0,0.006687,0,0,0,0
247,,,odan5chu_DOCK,0,1,1,0,1,1,0,0,1,1,1,0
248,,,hkdemonow,0,4,4,0,5,5,0,0,1,1,1,0
249,,,tannieofmordor,22,1,23,22,1,23,0.045455,0.147117,0,0,0,0
250,,,yunamithan,0,30,30,0,30,30,0,0,2,0.894737,0.941176,0
251,,,Yiz_19980502,0,2,2,0,2,2,0,0,1,1,1,0
252,,,NanaS16632252,0,1,1,0,1,1,0,0,1,1,1,0
253,,,Liverpotlian,0,2,2,0,2,2,0,0,1,1,1,0
254,,,beakey3,0,2,2,0,2,2,0,0,1,1,1,0
255,,,mycrystalmemory,0,1,1,0,1,1,0,0,1,1,1,0
256,,,mullberrytree,0,1,1,0,1,1,0,0,1,1,1,0
257,,,ClementineLuvie,0,2,2,0,2,2,0,0,1,1,1,0
258,,,PennyJ24,0,1,1,0,1,1,0,0,1,1,1,0
259,,,elly1982grace,0,1,1,0,1,1,0,0,1,1,1,0
260,,,OdduduaS,0,5,5,0,5,5,0,0,1,1,1,0
261,,,kohaot,0,28,28,0,31,31,0,0,2,0.9375,0.966667,0
262,,,lovelyyyuzu,0,1,1,0,1,1,0,0,1,1,1,0
263,,,podsoskapozova,0,1,1,0,1,1,0,0,1,1,1,0
264,,,leon19660096,0,1,1,0,1,1,0,0,1,1,1,0
265,,,FigureSkateRose,0,1,1,0,1,1,0,0,1,1,1,0
266,,,zcwubbena,0,1,1,0,1,1,0,0,1,1,1,0
267,,,LiveRetiredLive,0,1,1,0,1,1,0,0,1,1,1,0
268,,,chadmhorner,0,1,1,0,1,1,0,0,1,1,1,0
269,,,Hanazaki_B,3,1,4,3,1,4,0.333333,0.075969,0,0,0,0
270,,,_yxxn00,0,4,4,0,4,4,0,0,1,1,1,0
271,,,aboutNathan9905,9,3,12,11,5,16,0.090909,0.099524,1,1,1,34
272,,,HopeLegacy1,0,2,2,0,2,2,0,0,2,0.666667,0.75,0
273,,,BGgourmet,0,3,3,0,3,3,0,0,2,0.714286,0.8,0
274,,,ShekinahEsalo,0,1,1,0,1,1,0,0,2,0.6,0.666667,0
275,,,PJMCHANEL_,0,1,1,0,1,1,0,0,2,0.6,0.666667,0
276,,,Ritti9,0,2,2,0,2,2,0,0,2,0.666667,0.75,0
277,,,RikoLinx81,0,1,1,0,1,1,0,0,1,1,1,0
278,,,LindaLMeilink,3,1,4,3,1,4,0.333333,0.135848,0,0,0,0
279,,,KatsuDauntless,29,2,31,42,4,46,0.033333,0.249835,1,1,1,43
280,,,Lovely_Yoongi93,0,1,1,0,1,1,0,0,1,1,1,0
281,,,jeeneeewoo,5,4,9,6,5,11,0.125,0.033436,1,1,1,12
282,,,semissourian,0,1,1,0,1,1,0,0,2,0.571429,0.625,0
283,,,GreenwichTime,5,1,6,5,1,6,0.2,0.033436,0,0,0,0
284,,,SchmattCheryl,0,1,1,0,1,1,0,0,1,1,1,0
285,,,canalzone721,0,1,1,0,1,1,0,0,1,1,1,0
286,,,RobRe62,0,3,3,0,3,3,0,0,1,1,1,0
287,,,EvelynSpring8,0,1,1,0,1,1,0,0,1,1,1,0
288,,,susankeepitreal,16,1,17,21,6,27,0.0625,0.106994,0,0,0,0
289,,,RealRohitNaseem,0,1,1,0,1,1,0,0,1,1,1,0
290,,,mpcoreno,0,1,1,0,1,1,0,0,1,1,1,0
291,,,lalobernal1,0,1,1,0,1,1,0,0,1,1,1,0
292,,,catdomino,0,3,3,0,3,3,0,0,2,0.571429,0.625,0
293,,,thehawaiiguy,0,1,1,0,1,1,0,0,1,1,1,0
294,,,DJRiter,0,1,1,0,1,1,0,0,1,1,1,0
295,,,jungkookinga,0,2,2,0,2,2,0,0,1,1,1,0
296,,,empresswenjing,0,1,1,0,1,1,0,0,1,1,1,0
297,,,Mel_Storni,0,2,2,0,2,2,0,0,1,1,1,0
298,,,pdpsingha,0,1,1,0,1,1,0,0,2,0.6,0.666667,0
299,,,hunguphere,1,1,2,1,1,2,0,0.006687,0,0,0,0
300,,,Ess_moe,0,1,1,0,1,1,0,0,2,0.571429,0.625,0
301,,,TeresaMWalker,0,1,1,0,1,1,0,0,2,0.571429,0.625,0
302,,,Anasmuhammad_,0,2,2,0,2,2,0,0,2,0.625,0.7,0
303,,,AP,4,1,5,5,2,7,0.25,0.026749,0,0,0,0
304,,,nobodyzIistenin,0,1,1,0,1,1,0,0,1,1,1,0
305,,,J_PNeo,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
306,,,JCon286,0,1,1,0,1,1,0,0,1,1,1,0
307,,,Natefame,1,1,2,1,1,2,0,0.006687,0,0,0,0
308,,,Frankgibsonmad3,5,1,6,5,1,6,0.2,0.033436,0,0,0,0
309,,,iimogasuki,0,10,10,0,10,10,0,0,3,0.714286,0.822222,0
310,,,LUVH0LICS,0,1,1,0,1,1,0,0,1,1,1,0
311,,,yuzurulight,0,1,1,0,1,1,0,0,1,1,1,0
312,,,bgngb,0,1,1,0,1,1,0,0,1,1,1,0
313,,,lawanda50,0,1,1,0,1,1,0,0,1,1,1,0
314,,,rckstrkth,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
315,,,YaBoiAXE,1,1,2,2,2,4,0,0.006687,0,0,0,0
316,,,gotsvnbjyx,0,1,1,0,1,1,0,0,1,1,1,0
317,,,nasko_tenev,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
318,,,nabiya___,0,1,1,0,1,1,0,0,1,1,1,0
319,,,SylviaUnseen,3,1,4,5,3,8,0.333333,0.020061,0,0,0,0
320,,,BUBBLEBETD,0,1,1,0,1,1,0,0,1,1,1,0
321,,,cr0b1n,0,3,3,0,3,3,0,0,3,0.526316,0.566667,0
322,,,insider_ct,4,1,5,5,1,6,0.25,0.026749,0,0,0,0
323,,,4GenSFFanFam,0,1,1,0,1,1,0,0,1,1,1,0
324,,,the50person,0,3,3,0,3,3,0,0,2,0.8,0.875,0
325,,,sportsbaIIfan,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
326,,,bee68453069,0,4,4,0,4,4,0,0,2,0.75,0.833333,0
327,,,nederlagx,0,1,1,0,1,1,0,0,1,1,1,0
328,,,Nathanatormemez,16,17,33,19,21,40,0.03125,0.106994,2,0.944444,0.970588,255
329,,,LaxBeck,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
330,,,fernweh_723,0,1,1,0,1,1,0,0,1,1,1,0
331,,,badpersonal1ty,0,1,1,0,1,1,0,0,1,1,1,0
332,,,niba_cos,4,1,5,4,1,5,0.25,0.026749,0,0,0,0
333,,,CeciliaQuick,0,6,6,0,6,6,0,0,1,1,1,0
334,,,Yolii_Yolandaa,0,3,3,0,3,3,0,0,3,0.526316,0.566667,0
335,,,FrancesStockton,0,3,3,0,3,3,0,0,1,1,1,0
336,,,ForbesWomen,3,1,4,3,1,4,0.333333,0.02705,0,0,0,0
337,,,akki0907,0,10,10,0,10,10,0,0,2,0.916667,0.954545,0
338,,,ZhouXizhou,1,1,2,1,1,2,0,0.006687,0,0,0,0
339,,,savestheday91,6,1,7,6,1,7,0.166667,0.103019,0,0,0,0
340,,,EloisaUCV,0,1,1,0,1,1,0,0,1,1,1,0
341,,,meghankelleher3,0,1,1,0,1,1,0,0,1,1,1,0
342,,,andthewaltz,2,3,5,2,3,5,0.25,0.013374,1,1,1,2
343,,,ichig0tchi,0,4,4,0,4,4,0,0,2,0.75,0.833333,0
344,,,robodebeep,0,1,1,0,1,1,0,0,1,1,1,0
345,,,DATH0MIRIAN,1,1,2,1,1,2,0,0.006687,0,0,0,0
346,,,bangpdbot,0,6,6,0,6,6,0,0,2,0.875,0.928571,0
347,,,plant_f00d,5,1,6,5,1,6,0.2,0.033436,0,0,0,0
348,,,h0neyuzu,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
349,,,shldrgang_323,0,1,1,0,1,1,0,0,1,1,1,0
350,,,allblue91608422,0,2,2,0,2,2,0,0,1,1,1,0
351,,,abysmal_squid,0,1,1,0,1,1,0,0,1,1,1,0
352,,,Dictasia,1,1,2,1,1,2,0,0.006687,0,0,0,0
353,,,Piupiupiu22,9,1,10,10,2,12,0.111111,0.06898,0,0,0,0
354,,,aISWJY,0,1,1,0,1,1,0,0,1,1,1,0
355,,,sink_or_swim,0,1,1,0,1,1,0,0,1,1,1,0
356,,,ameliaearheart,0,1,1,0,1,1,0,0,1,1,1,0
357,,,patbingzu,2,19,21,2,21,23,0.05,0.020363,1,1,1,36
358,,,kansaijin_hide,1,1,2,1,1,2,0,0.006687,0,0,0,0
